input_game,appid,display_name,release_year,genres,categories,tags,similarity_score
elden ring,1501750,Lords of the Fallen,2023,"['Action', 'Adventure', 'RPG']","['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Full controller support', 'Steam Cloud', 'Family Sharing']","{'Exploration': 895, 'Combat': 886, 'Souls-like': 884, 'Action': 874, 'Dragons': 868, 'Dark Fantasy': 868, 'RPG': 868, 'Story Rich': 864, 'Action RPG': 858, 'Singleplayer': 853, 'Online Co-Op': 851, 'Action-Adventure': 841, 'Adventure': 836, 'Medieval': 831, 'Lore-Rich': 810, 'Magic': 786, 'Character Customization': 779, 'Multiplayer': 775, 'Fantasy': 765, 'Open World': 757}",0.69901884
elden ring,2018870,The Summon,2023,"['Action', 'Adventure', 'Indie', 'RPG']","['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Steam Achievements']",[],0.64069045
elden ring,3209080,poo poo war,2024,"['Action', 'Adventure', 'Casual', 'Indie', 'RPG']","['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Steam Achievements', 'Family Sharing']",[],0.626079
elden ring,2176790,Furry Arena [18+],2022,"['Action', 'Adventure']","['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Steam Achievements', 'Steam Trading Cards', 'Family Sharing']",[],0.61392283
elden ring,2415650,Mages of Osmea,2024,"['Action', 'RPG']","['Single-player', 'Multi-player', 'Co-op', 'Online Co-op', 'Steam Cloud']",[],0.5988179
elden ring,2589920,SERAPH : In the Darkness,2025,"['Action', 'RPG', 'Free To Play']","['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op']",[],0.596906
elden ring,3007630,Combat Evolved 2D,2024,['Indie'],"['Multi-player', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Steam Achievements', 'Steam Cloud', 'Family Sharing']",[],0.59503937
elden ring,2610830,Retro Combat,2023,['Action'],"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op']",[],0.5883718
elden ring,1860550,Space Quest: 2099,2022,"['Action', 'Adventure', 'Indie']","['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op']",[],0.58669347
elden ring,2575060,Lively Chair Simulator,2023,"['Action', 'Indie', 'Simulation', 'Strategy']","['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Steam Achievements', 'Full controller support', 'Steam Leaderboards']",[],0.5826259
red dead redemption 2,271590,Grand Theft Auto V Legacy,2015,"['Action', 'Adventure']","['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Steam Achievements', 'Full controller support', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play on TV']","{'Open World': 32644, 'Action': 23539, 'Multiplayer': 21748, 'Crime': 19422, 'Automobile Sim': 18774, 'Third Person': 18660, 'First-Person': 18275, 'Mature': 15293, 'Shooter': 14955, 'Adventure': 13643, 'Singleplayer': 12512, 'Third-Person Shooter': 11990, 'Racing': 11577, 'Co-op': 10275, 'Sandbox': 10006, 'Atmospheric': 9936, 'Funny': 9403, 'Great Soundtrack': 8735, 'Comedy': 8604, 'Moddable': 7084}",0.7220543
red dead redemption 2,359550,Tom Clancy's Rainbow Six® Siege,2015,['Action'],"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Full controller support', 'Steam Trading Cards', 'In-App Purchases', 'Remote Play on Phone', 'Remote Play on Tablet']","{'FPS': 9831, 'PvP': 9162, 'e-sports': 9072, 'Multiplayer': 9063, 'Tactical': 9056, 'Shooter': 9053, 'Competitive': 8973, 'Online Co-Op': 8944, 'Action': 8928, 'Hero Shooter': 8887, 'Team-Based': 5637, 'Military': 4966, 'Strategy': 4921, 'First-Person': 4902, 'Co-op': 4874, 'War': 4867, 'Realistic': 4864, 'Destruction': 4857, 'Difficult': 2103, '3D': 1892}",0.55638283
red dead redemption 2,1404210,Red Dead Online,2020,"['Action', 'Adventure']","['Multi-player', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Steam Achievements', 'In-App Purchases', 'Partial Controller Support', 'Remote Play on Phone', 'Remote Play on Tablet', 'Family Sharing']","{'Open World': 220, 'Multiplayer': 203, 'Western': 192, 'Action': 182, 'Adventure': 172, 'Horses': 161, 'Realistic': 138, 'Shooter': 138, 'Online Co-Op': 128, 'Third-Person Shooter': 116, 'PvP': 97, 'Character Customization': 97, 'Story Rich': 70, 'Singleplayer': 66, 'Co-op': 64, 'Violent': 53, 'MMORPG': 52, 'First-Person': 51, 'Controller': 50, 'Gore': 48}",0.55271125
red dead redemption 2,1607250,MY HERO ULTRA RUMBLE,2023,"['Action', 'Casual', 'Free To Play']","['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Steam Achievements', 'In-App Purchases', 'Partial Controller Support']",[],0.53930324
red dead redemption 2,105600,Terraria,2011,"['Action', 'Adventure', 'Indie', 'RPG']","['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play on TV', 'Family Sharing']","{'Open World Survival Craft': 16365, 'Sandbox': 16065, 'Survival': 12778, '2D': 12602, 'Multiplayer': 12551, 'Adventure': 11578, 'Pixel Graphics': 11343, 'Crafting': 10603, 'Building': 10113, 'Exploration': 8921, 'Co-op': 7849, 'Open World': 7607, 'Online Co-Op': 6145, 'Indie': 6096, 'Action': 5680, 'RPG': 5343, 'Singleplayer': 5190, 'Replay Value': 4362, 'Platformer': 4037, 'Atmospheric': 3564}",0.53529143
red dead redemption 2,1172620,Sea of Thieves: 2024 Edition,2020,"['Action', 'Adventure']","['Multi-player', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Steam Trading Cards', 'In-App Purchases', 'Partial Controller Support', 'Remote Play on Phone', 'Remote Play on Tablet', 'Family Sharing']","{'Multiplayer': 1266, 'Open World': 1171, 'Adventure': 1164, 'Pirates': 1019, 'Co-op': 947, 'Online Co-Op': 874, 'Action': 786, 'PvP': 780, 'Sailing': 767, 'First-Person': 580, 'Exploration': 545, 'Naval': 489, 'PvE': 416, 'Funny': 411, 'Massively Multiplayer': 375, 'FPS': 357, 'Atmospheric': 341, 'Singleplayer': 326, 'Swordplay': 326, 'Great Soundtrack': 325}",0.5343649
red dead redemption 2,632360,Risk of Rain 2,2020,"['Action', 'Indie']","['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Full controller support', 'Steam Cloud', 'Steam Leaderboards', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play on TV', 'Family Sharing']","{'Third-Person Shooter': 2849, 'Action Roguelike': 2711, 'Multiplayer': 2654, 'Co-op': 2335, 'Action': 2207, 'Rogue-lite': 2171, 'Rogue-like': 2073, 'Looter Shooter': 2016, 'Loot': 1655, 'Online Co-Op': 1345, 'Shooter': 1255, 'Difficult': 1120, 'Great Soundtrack': 1109, 'Third Person': 1097, 'Indie': 1077, 'Survival': 1053, 'Singleplayer': 1034, 'Soundtrack': 941, 'Early Access': 635, 'Bullet Hell': 509}",0.5318599
red dead redemption 2,3096550,Twilight Wars,2024,"['Action', 'Indie', 'RPG', 'Free To Play']","['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Steam Achievements', 'In-App Purchases', 'Partial Controller Support']",[],0.52692497
red dead redemption 2,287700,METAL GEAR SOLID V: THE PHANTOM PAIN,2015,"['Action', 'Adventure']","['Single-player', 'Multi-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Captions available', 'In-App Purchases', 'Steam Cloud', 'Steam Leaderboards', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play on TV', 'Family Sharing']","{'Stealth': 2887, 'Open World': 2279, 'Action': 1969, 'Story Rich': 1893, 'Tactical': 1861, 'Cinematic': 1513, 'Third Person': 1434, 'Great Soundtrack': 1428, 'Singleplayer': 1231, 'Atmospheric': 1096, 'Adventure': 967, 'Horses': 958, 'Multiplayer': 922, 'Third-Person Shooter': 921, 'Shooter': 844, 'Replay Value': 818, 'Sandbox': 814, 'Dark': 665, 'Sci-fi': 605, 'Heist': 149}",0.52636284
red dead redemption 2,1085660,Destiny 2,2019,"['Action', 'Adventure', 'Free To Play']","['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Steam Achievements', 'In-App Purchases', 'Partial Controller Support']","{'Free to Play': 3512, 'Open World': 3063, 'Looter Shooter': 3018, 'Multiplayer': 3018, 'MMORPG': 2986, 'FPS': 2976, 'Co-op': 2942, 'PvE': 2833, 'PvP': 2760, 'Shooter': 2645, 'Massively Multiplayer': 2529, 'Loot': 2514, 'First-Person': 2489, 'Sci-fi': 2470, 'Action': 2453, 'Adventure': 2383, 'Lore-Rich': 2366, 'Space': 2351, 'Competitive': 2213, 'Atmospheric': 2202}",0.52297103
forza horizon 5,1015520,Age of Empires IV Technical Stress Test,2021,['Strategy'],"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements']",[],0.48687994
forza horizon 5,1989990,Touhou Crisis,2022,['Action'],"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements']",[],0.48663825
forza horizon 5,2246340,Monster Hunter Wilds,2025,"['Action', 'Adventure', 'RPG']","['Single-player', 'Multi-player', 'Co-op', 'Online Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'HDR available', 'Family Sharing']","{'Hunting': 2111, 'Action': 1808, 'Multiplayer': 1718, 'Online Co-Op': 1544, 'Co-op': 1536, 'Dating Sim': 1474, 'Dragons': 1396, 'Open World': 1350, 'Character Customization': 1348, 'Third Person': 1334, 'Action RPG': 1278, 'Adventure': 1235, 'Fantasy': 1188, 'Cute': 1166, 'RPG': 1133, 'Singleplayer': 1072, 'Atmospheric': 1047, 'Great Soundtrack': 791, 'Underwater': 562, 'Sexual Content': 134}",0.48394418
forza horizon 5,2249600,Drag Racing 3D: Streets 2,2024,"['Indie', 'Massively Multiplayer', 'Racing', 'Simulation', 'Sports']","['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Cross-Platform Multiplayer', 'In-App Purchases', 'Steam Cloud']",[],0.4554118
forza horizon 5,2022330,The Riflemen,2023,"['Action', 'Casual', 'Free To Play']","['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements']",[],0.45435727
forza horizon 5,1222680,Need for Speed™ Heat,2020,"['Action', 'Adventure', 'Racing', 'Sports']","['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support', 'Remote Play on Tablet', 'HDR available']","{'Racing': 526, 'Open World': 389, 'Multiplayer': 389, 'Driving': 367, 'Action': 280, 'Singleplayer': 263, 'Co-op': 228, 'Adventure': 222, 'Atmospheric': 184, 'Combat Racing': 184, 'Third Person': 175, 'Online Co-Op': 175, 'Arcade': 171, 'Controller': 157, 'Sports': 149, 'PvP': 143, 'First-Person': 140, 'Character Customization': 129, 'Destruction': 95, 'Split Screen': 88}",0.45198858
forza horizon 5,1771260,Conquest!,2021,"['Indie', 'RPG', 'Strategy']","['Multi-player', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements']",[],0.44547588
forza horizon 5,211820,Starbound,2016,"['Action', 'Adventure', 'Casual', 'Indie', 'RPG']","['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'Family Sharing']","{'Open World Survival Craft': 5389, 'Sandbox': 4749, 'Survival': 3358, 'Adventure': 3228, 'Space': 3223, 'Crafting': 3027, 'Pixel Graphics': 2981, 'Online Co-Op': 2964, 'Multiplayer': 2896, 'Open World': 2856, 'Exploration': 2838, 'Relaxing': 2825, 'Indie': 2780, '2D': 2588, 'Action': 2490, 'Building': 2460, 'Co-op': 2443, 'RPG': 2421, 'Atmospheric': 2411, 'Sci-fi': 1442}",0.44374692
forza horizon 5,1592110,Spirit of the Island,2022,"['Action', 'Adventure', 'Casual', 'Indie', 'RPG', 'Simulation', 'Strategy']","['Single-player', 'Multi-player', 'Co-op', 'Online Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Remote Play on TV', 'HDR available', 'Family Sharing']","{'Family Friendly': 6556, 'Relaxing': 6540, 'Indie': 6532, 'Multiplayer': 5156, 'Open World Survival Craft': 5054, 'Life Sim': 5044, 'Farming Sim': 5042, 'Sandbox': 5040, 'Simulation': 5038, 'Action RPG': 5035, 'Online Co-Op': 5032, 'RPG': 5022, 'Cute': 4994, 'Cats': 4990, 'Agriculture': 4985, 'Singleplayer': 4981, 'Open World': 4972, 'Adventure': 4967, 'Casual': 4810, 'Exploration': 4805}",0.43934488
forza horizon 5,2169220,GPRO - Classic racing manager,2023,"['Indie', 'Massively Multiplayer', 'Racing', 'Simulation', 'Sports', 'Strategy', 'Free To Play']","['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements', 'In-App Purchases']",[],0.43804663
